"Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV"
"Philadelphia Eagles*,10,6,0,.625,442,382,60,3.8"
"Dallas Cowboys,8,8,0,.500,439,432,7,0.4"
"New York Giants,7,9,0,.438,294,383,-89,-5.6"
"Washington Redskins,3,13,0,.188,334,478,-144,-9.0"
"Green Bay Packers*,8,7,1,.531,417,428,-11,-0.7"
"Chicago Bears,8,8,0,.500,445,478,-33,-2.1"
"Detroit Lions,7,9,0,.438,395,376,19,1.2"
"Minnesota Vikings,5,10,1,.344,391,480,-89,-5.6"
"Carolina Panthers*,12,4,0,.750,366,241,125,7.8"
"New Orleans Saints+,11,5,0,.688,414,304,110,6.9"
"Atlanta Falcons,4,12,0,.250,353,443,-90,-5.6"
"Tampa Bay Buccaneers,4,12,0,.250,288,389,-101,-6.3"
"Seattle Seahawks*,13,3,0,.813,417,231,186,11.6"
"San Francisco 49ers+,12,4,0,.750,406,272,134,8.4"
"Arizona Cardinals,10,6,0,.625,379,324,55,3.4"
"St. Louis Rams,7,9,0,.438,348,364,-16,-1.0"
