Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Adrian Peterson*+\PeteAd01,MIN,30,RB,16,16,327,1485,11,80,4.5,92.8,7
2,Doug Martin*+\MartDo00,TAM,26,RB,16,16,288,1402,6,84,4.9,87.6,5
3,Latavius Murray*\MurrLa00,OAK,25,RB,16,16,266,1066,6,54,4.0,66.6,4
4,Devonta Freeman*\FreeDe00,ATL,23,RB,15,13,265,1056,11,39,4.0,70.4,3
5,Frank Gore\GoreFr00,IND,32,RB,16,16,260,967,6,37,3.7,60.4,4
6,Chris Ivory*\IvorCh00,NYJ,27,RB,15,14,247,1070,7,58,4.3,71.3,4
7,Jonathan Stewart*\StewJo00,CAR,28,RB,13,13,242,989,6,44,4.1,76.1,3
8,Darren McFadden\McFaDa00,DAL,28,RB,16,10,239,1089,3,50,4.6,68.1,3
9,Todd Gurley*\GurlTo01,STL,21,RB,13,12,229,1106,10,71,4.8,85.1,3
10,Jeremy Hill\HillJe01,CIN,23,RB,16,15,223,794,11,38,3.6,49.6,3
11,Matt Forte\FortMa00,CHI,30,RB,13,13,218,898,4,27,4.1,69.1,2
12,Ronnie Hillman\HillRo00,DEN,24,RB,16,11,207,863,7,72,4.2,53.9,3
13,LeSean McCoy*\McCoLe01,BUF,27,RB,12,12,203,895,3,48,4.4,74.6,2
14,Alfred Morris\MorrAl00,WAS,27,RB,16,16,202,751,1,48,3.7,46.9,0
15,DeAngelo Williams\WillDe02,PIT,32,RB,16,10,200,907,11,55,4.5,56.7,4
16,Chris Johnson\JohnCh04,ARI,30,RB,11,9,196,814,3,62,4.2,74.0,2
17,Rashad Jennings\JennRa00,NYG,30,RB,16,16,195,863,3,38,4.4,53.9,2
18,Lamar Miller\MillLa01,MIA,24,RB,16,16,194,872,8,85,4.5,54.5,1
19,DeMarco Murray\MurrDe00,PHI,27,RB,15,8,193,702,6,54,3.6,46.8,2
20,Eddie Lacy\LacyEd00,GNB,25,RB,15,12,187,758,3,29,4.1,50.5,4
21,Isaiah Crowell\CrowIs00,CLE,22,RB,16,9,185,706,4,54,3.8,44.1,0
22,Melvin Gordon\GordMe00,SDG,22,RB,14,13,184,641,0,27,3.5,45.8,6
23,Alfred Blue\BlueAl00,HOU,24,RB,15,9,183,698,2,41,3.8,46.5,2
24,T.J. Yeldon\YeldT.00,JAX,22,RB,12,12,182,740,2,45,4.1,61.7,0
25,Mark Ingram\IngrMa01,NOR,26,RB,12,10,166,769,6,70,4.6,64.1,2
26,LeGarrette Blount\BlouLe00,NWE,29,rb,12,6,165,703,6,38,4.3,58.6,1
27,Charcandrick West\WestCh01,KAN,24,RB,15,9,160,634,4,38,4.0,42.3,1
28,Giovani Bernard\BernGi00,CIN,24,rb,16,1,154,730,2,28,4.7,45.6,1
29,C.J. Anderson\AndeC.00,DEN,24,rb,15,6,152,720,5,48,4.7,48.0,2
30,Justin Forsett\ForsJu00,BAL,30,RB,10,10,151,641,2,33,4.2,64.1,0
31,Jeremy Langford\LangJe00,CHI,24,rb,16,2,148,537,6,23,3.6,33.6,0
32,James Starks\StarJa00,GNB,29,rb,16,4,148,601,2,65,4.1,37.6,5
33,Thomas Rawls\RawlTh00,SEA,22,rb,13,7,147,830,4,69,5.6,63.8,1
34,Matt Jones\JoneMa04,WAS,22,,13,0,144,490,3,39,3.4,37.7,5
35,Ameer Abdullah\AbduAm00,DET,22,RB,16,9,143,597,2,36,4.2,37.3,5
36,Antonio Andrews\AndrAn00,TEN,23,RB,14,10,143,520,3,38,3.6,37.1,1
37,Javorius Allen\AlleJa01,BAL,24,rb,16,6,137,514,1,44,3.8,32.1,2
38,Cam Newton*+\NewtCa00,CAR,26,QB,16,16,132,636,10,47,4.8,39.8,5
39,David Johnson\JohnDa08,ARI,24,rb,16,5,125,581,8,47,4.6,36.3,4
40,Carlos Hyde\HydeCa00,SFO,25,rb,7,7,115,470,3,22,4.1,67.1,1
41,Le'Veon Bell\BellLe00,PIT,23,rb,6,6,113,556,3,42,4.9,92.7,0
42,Marshawn Lynch\LyncMa00,SEA,29,rb,7,6,111,417,3,24,3.8,59.6,0
43,Charles Sims\SimsCh00,TAM,25,,16,0,107,529,0,59,4.9,33.1,2
44,Ryan Mathews\MathRy00,PHI,28,rb,13,6,106,539,6,63,5.1,41.5,3
45,Duke Johnson\JohnDu00,CLE,22,rb,16,7,104,379,0,39,3.6,23.7,1
46,Tyrod Taylor*\TaylTy00,BUF,26,QB/wr,14,14,104,568,4,31,5.5,40.6,9
47,Russell Wilson*\WilsRu00,SEA,27,QB,16,16,103,553,1,24,5.4,34.6,7
48,Chris Polk\PolkCh00,HOU,26,rb,15,2,99,334,1,20,3.4,22.3,0
49,Danny Woodhead\WoodDa02,SDG,30,rb,16,2,98,336,3,27,3.4,21.0,0
50,Tim Hightower\HighTi00,NOR,29,rb,8,3,96,375,4,26,3.9,46.9,0
51,Karlos Williams\WillKa01,BUF,22,fb/rb,11,3,93,517,7,41,5.6,47.0,2
52,Joique Bell\BellJo01,DET,29,rb,13,5,90,311,4,36,3.5,23.9,1
53,Andre Williams\WillAn00,NYG,23,,16,0,88,257,1,35,2.9,16.1,0
54,Tevin Coleman\ColeTe01,ATL,22,rb,12,3,87,392,1,46,4.5,32.7,3
55,Alex Smith\SmitAl03,KAN,31,QB,16,16,84,498,2,49,5.9,31.1,4
56,Darren Sproles*\SproDa00,PHI,32,rb/wr,16,4,83,317,3,27,3.8,19.8,1
57,Shaun Draughn\DrauSh00,2TM,28,,11,6,78,273,1,30,3.5,24.8,1
58,Joseph Randle\RandJo01,DAL,24,rb,6,6,76,315,4,37,4.1,52.5,1
59,Tre Mason\MasoTr00,STL,22,rb,13,3,75,207,1,15,2.8,15.9,3
60,Spencer Ware\WareSp00,KAN,24,rb,11,2,72,403,6,52,5.6,36.6,0
61,Jamaal Charles\CharJa00,KAN,29,rb,5,5,71,364,4,34,5.1,72.8,2
62,Bilal Powell\PoweBi00,NYJ,27,fb/rb,11,2,70,313,1,24,4.5,28.5,2
63,Denard Robinson\RobiDe00,JAX,25,rb,13,3,67,266,1,31,4.0,20.5,3
64,Brandon Bolden\BoldBr00,NWE,25,rb,15,2,63,207,0,14,3.3,13.8,0
65,Arian Foster\FostAr00,HOU,29,rb,4,4,63,163,1,16,2.6,40.8,2
66,Mike Tolbert*+\TolbMi00,CAR,30,fb/rb,16,3,62,256,1,29,4.1,16.0,0
67,Terrance West\WestTe00,2TM,24,,8,0,62,231,0,17,3.7,28.9,2
68,Shane Vereen\VereSh00,NYG,26,,16,0,61,260,0,39,4.3,16.3,1
69,Ryan Fitzpatrick\FitzRy00,NYJ,33,QB,16,16,60,270,2,19,4.5,16.9,5
70,Donald Brown\BrowDo00,SDG,28,rb,9,2,59,229,1,53,3.9,25.4,1
71,Aaron Rodgers*\RodgAa00,GNB,32,QB,16,16,58,344,1,18,5.9,21.5,8
72,Andy Dalton\DaltAn00,CIN,28,QB,13,13,57,142,3,12,2.5,10.9,5
73,Jonathan Grimes\GrimJo01,HOU,26,,14,0,56,282,1,37,5.0,20.1,0
74,Khiry Robinson\RobiKh00,NOR,26,,8,0,56,180,4,14,3.2,22.5,0
75,Dexter McCluster\McClDe00,TEN,26,rb,11,2,55,247,1,44,4.5,22.5,2
76,Christine Michael\MichCh00,2TM,25,,8,2,54,243,0,45,4.5,30.4,0
77,Jameis Winston*\WinsJa00,TAM,21,QB,16,16,54,213,6,21,3.9,13.3,6
78,Tavon Austin\AustTa00,STL,25,WR,16,15,52,434,4,60,8.3,27.1,2
79,Blake Bortles\BortBl00,JAX,23,QB,16,16,52,310,2,28,6.0,19.4,14
80,David Cobb\CobbDa00,TEN,22,rb,7,1,52,146,1,12,2.8,20.9,0
81,Jerick McKinnon\McKiJe00,MIN,23,,16,0,52,271,2,68,5.2,16.9,0
82,Robert Turbin\TurbRo00,2TM,26,,10,0,50,199,1,22,4.0,19.9,0
83,Jay Ajayi\AjayJa00,MIA,22,,9,0,49,187,1,24,3.8,20.8,0
84,Dion Lewis\LewiDi00,NWE,25,rb,7,6,49,234,2,13,4.8,33.4,2
85,DuJuan Harris\HarrDu01,2TM,27,,4,1,48,189,0,47,3.9,47.3,1
86,Mike Gillislee\GillMi00,BUF,25,rb,5,1,47,267,3,60,5.7,53.4,1
87,Bishop Sankey\SankBi00,TEN,23,rb,13,3,47,193,1,16,4.1,14.8,2
88,Cameron Artis-Payne\ArtiCa00,CAR,25,,7,0,45,183,1,31,4.1,26.1,0
89,Andre Ellington\ElliAn00,ARI,26,rb,10,3,45,289,3,63,6.4,28.9,1
90,Jonas Gray\GrayJo00,2TM,25,,8,0,45,176,0,23,3.9,22.0,0
91,Colin Kaepernick\KaepCo00,SFO,28,QB,9,8,45,256,1,15,5.7,28.4,5
92,Teddy Bridgewater*\BridTe00,MIN,23,QB,16,16,44,192,3,19,4.4,12.0,8
93,Matthew Stafford\StafMa00,DET,27,QB,16,16,44,159,1,18,3.6,9.9,4
94,Ka'Deem Carey\CareKa00,CHI,23,rb,10,1,43,159,2,11,3.7,15.9,1
95,Theo Riddick\RiddTh00,DET,24,rb,16,1,43,133,0,16,3.1,8.3,1
96,Jay Cutler\CutlJa00,CHI,32,QB,15,15,38,201,1,26,5.3,13.4,8
97,Benny Cunningham\CunnBe01,STL,25,rb,16,1,37,140,0,40,3.8,8.8,1
98,Johnny Manziel\ManzJo00,CLE,23,qb,10,6,37,230,0,34,6.2,23.0,6
99,Orleans Darkwa\DarkOr00,NYG,23,,16,0,36,153,1,17,4.3,9.6,0
100,Stevan Ridley\RidlSt00,NYJ,26,rb,9,1,36,90,0,13,2.5,10.0,0
