Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
39,Jamaal Williams\WillJa06,GNB,23,RB,16,8,121,464,3,20,3.8,29.0,0
40,Josh Adams\AdamJo03,PHI,22,rb,14,5,120,511,3,29,4.3,36.5,1
41,Kenyan Drake\DrakKe00,MIA,24,rb,16,7,120,535,4,54,4.5,33.4,2
42,Kerryon Johnson\JohnKe06,DET,21,rb/wr,10,7,118,641,3,71,5.4,64.1,1
43,Chris Ivory\IvorCh00,BUF,30,rb,13,1,115,385,1,21,3.3,29.6,1
44,Alex Collins\CollAl00,BAL,24,RB,10,10,114,411,7,19,3.6,41.1,3
45,Mike Davis\DaviMi01,SEA,25,rb,15,2,112,514,4,37,4.6,34.3,0
46,Alfred Morris\MorrAl00,SFO,30,rb,12,1,111,428,2,51,3.9,35.7,2
47,Austin Ekeler\EkelAu00,LAC,23,rb,14,3,106,554,3,41,5.2,39.6,1
48,T.J. Yeldon\YeldT.00,JAX,25,rb,14,5,104,414,1,20,4.0,29.6,1
49,Cam Newton\NewtCa00,CAR,29,QB,14,14,101,488,4,29,4.8,34.9,6
50,Tarik Cohen*+\CoheTa00,CHI,23,rb/wr,16,7,99,444,3,32,4.5,27.8,7
51,Deshaun Watson*\WatsDe00,HOU,23,QB,16,16,99,551,5,34,5.6,34.4,9
52,James White\WhitJa02,NWE,26,rb,16,3,94,425,5,27,4.5,26.6,0
53,Elijah McGuire\McGuEl00,NYJ,24,rb,8,3,92,276,3,34,3.0,34.5,2
54,Marshawn Lynch\LyncMa00,OAK,32,rb,6,6,90,376,3,52,4.2,62.7,0
55,Ito Smith\SmitIt00,ATL,23,,14,0,90,315,4,18,3.5,22.5,1
56,Josh Allen\AlleJo02,BUF,22,QB,12,11,89,631,8,45,7.1,52.6,8
57,Wendell Smallwood\SmalWe00,PHI,24,rb,16,6,87,364,3,15,4.2,22.8,2
58,Nyheim Hines\HineNy00,IND,22,rb,16,4,85,314,2,18,3.7,19.6,1
59,Rashaad Penny\PennRa00,SEA,22,,14,0,85,419,2,38,4.9,29.9,0
60,Bilal Powell\PoweBi00,NYJ,30,rb,7,7,80,343,0,38,4.3,49.0,2
61,Dak Prescott*\PresDa01,DAL,25,QB,16,16,75,305,6,28,4.1,19.1,12
62,Corey Clement\ClemCo00,PHI,24,,11,0,68,259,2,32,3.8,23.5,4
63,Mitchell Trubisky*\TrubMi00,CHI,24,QB,14,14,68,421,3,39,6.2,30.1,6
64,C.J. Anderson\AndeC.00,2TM,27,,11,3,67,403,2,46,6.0,36.6,0
65,Russell Wilson*\WilsRu00,SEA,30,QB,16,16,67,376,0,40,5.6,23.5,10
66,Jeff Wilson\WilsJe01,SFO,23,rb,6,2,66,266,0,18,4.0,44.3,3
67,Marcus Mariota\MariMa01,TEN,25,QB,14,13,64,357,2,27,5.6,25.5,9
68,Kenneth Dixon\DixoKe00,BAL,24,,6,0,60,333,2,37,5.6,55.5,2
69,Chase Edmonds\EdmoCh00,ARI,22,,16,0,60,208,2,29,3.5,13.0,1
70,Patrick Mahomes*+\MahoPa00,KAN,23,QB,16,16,60,272,2,28,4.5,17.0,9
71,Jordan Wilkins\WilkJo01,IND,24,rb,16,3,60,336,1,53,5.6,21.0,2
72,Blake Bortles\BortBl00,JAX,26,QB,13,12,58,365,1,41,6.3,28.1,8
73,Rex Burkhead\BurkRe00,NWE,28,rb/wr,8,4,57,186,0,12,3.3,23.3,2
74,Giovani Bernard\BernGi00,CIN,27,rb,12,4,56,211,3,23,3.8,17.6,0
75,Jaylen Samuels\SamuJa00,PIT,22,rb,14,3,56,256,0,25,4.6,18.3,1
76,Jalen Richard\RichJa01,OAK,25,rb,16,1,55,259,1,30,4.7,16.2,3
77,Zach Zenner\ZennZa00,DET,27,rb,8,1,55,265,3,29,4.8,33.1,0
78,Marcus Murphy\MurpMa03,BUF,27,rb,11,1,52,250,0,30,4.8,22.7,1
79,Wayne Gallman\GallWa00,NYG,24,rb,15,2,51,176,1,9,3.5,11.7,2
80,Spencer Ware\WareSp00,KAN,27,rb,13,2,51,246,2,34,4.8,18.9,0
81,Justin Jackson\JackJu01,LAC,23,rb,13,1,50,206,2,20,4.1,15.8,0
82,Damien Williams\WillDa05,KAN,26,rb,16,3,50,256,4,25,5.1,16.0,1
83,Jameis Winston\WinsJa00,TAM,24,QB,11,9,49,281,1,18,5.7,25.5,7
84,Andrew Luck*\LuckAn00,IND,29,QB,16,16,46,148,0,33,3.2,9.3,6
85,Jay Ajayi\AjayJa00,PHI,25,rb,4,3,45,184,3,20,4.1,46.0,1
86,Kirk Cousins\CousKi00,MIN,30,QB,16,16,44,123,1,19,2.8,7.7,9
87,Sam Darnold\DarnSa00,NYJ,21,QB,13,13,44,138,1,28,3.1,10.6,5
88,Rod Smith\SmitRo06,DAL,26,rb,16,1,44,127,1,14,2.9,7.9,0
89,Malcolm Brown\BrowMa03,LAR,25,,12,0,43,212,0,19,4.9,17.7,0
90,Jared Goff*\GoffJa00,LAR,24,QB,16,16,43,108,2,16,2.5,6.8,12
91,Aaron Rodgers*\RodgAa00,GNB,35,QB,16,16,43,269,2,23,6.3,16.8,6
92,Chris Thompson\ThomCh03,WAS,28,,10,0,43,178,0,16,4.1,17.8,1
93,Cordarrelle Patterson\PattCo00,NWE,27,rb/wr,15,5,42,228,1,27,5.4,15.2,1
94,Javorius Allen\AlleJa01,BAL,27,,14,0,41,110,3,17,2.7,7.9,1
95,Ty Montgomery\MontTy01,2TM,25,,13,0,41,188,1,16,4.6,14.5,2
96,Alex Smith\SmitAl03,WAS,34,QB,10,10,41,168,1,22,4.1,16.8,6
97,Duke Johnson\JohnDu00,CLE,25,rb,16,2,40,201,0,23,5.0,12.6,1
98,Theo Riddick\RiddTh00,DET,27,wr,14,3,40,171,0,19,4.3,12.2,0
99,Baker Mayfield\MayfBa00,CLE,23,QB,14,13,39,131,0,35,3.4,9.4,7
100,Trenton Cannon\CannTr00,NYJ,24,,16,0,38,113,1,21,3.0,7.1,0
