Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Ezekiel Elliott*\ElliEz00,DAL,23,RB,15,15,304,1434,6,41,4.7,95.6,6
2,Saquon Barkley*\BarkSa00,NYG,21,RB,16,16,261,1307,11,78,5.0,81.7,0
3,David Johnson\JohnDa08,ARI,27,RB,16,16,258,940,7,53,3.6,58.8,3
4,Todd Gurley*+\GurlTo01,LAR,24,RB,14,14,256,1251,17,36,4.9,89.4,1
5,Adrian Peterson\PeteAd01,WAS,33,RB,16,16,251,1042,7,90,4.2,65.1,3
6,Jordan Howard\HowaJo00,CHI,24,RB,16,15,250,935,9,42,3.7,58.4,2
7,Chris Carson\CarsCh00,SEA,24,RB,14,14,247,1151,9,61,4.7,82.2,3
8,Joe Mixon\MixoJo00,CIN,22,RB,14,13,237,1168,8,51,4.9,83.4,0
9,Peyton Barber\BarbPe01,TAM,24,RB,16,16,234,871,5,28,3.7,54.4,1
10,Christian McCaffrey\McCaCh01,CAR,22,RB,16,16,219,1098,7,59,5.0,68.6,4
11,James Conner*\ConnJa00,PIT,23,RB,13,12,215,973,12,30,4.5,74.8,4
12,Derrick Henry\HenrDe00,TEN,24,RB,16,12,215,1059,12,99,4.9,66.2,1
13,Lamar Miller*\MillLa01,HOU,27,RB,14,14,210,973,5,97,4.6,69.5,1
14,Sony Michel\MichSo00,NWE,23,RB,13,8,209,931,6,34,4.5,71.6,1
15,Marlon Mack\MackMa00,IND,22,RB,12,10,195,908,9,49,4.7,75.7,2
16,Alvin Kamara*\KamaAl00,NOR,23,RB,15,13,194,883,14,49,4.6,58.9,1
17,Nick Chubb\ChubNi00,CLE,23,RB,16,9,192,996,8,92,5.2,62.3,0
18,Phillip Lindsay*\LindPh00,DEN,24,RB,15,8,192,1037,9,65,5.4,69.1,0
19,Kareem Hunt\HuntKa00,KAN,23,RB,11,11,181,824,7,45,4.6,74.9,0
20,Melvin Gordon*\GordMe00,LAC,25,RB,12,12,175,885,10,34,5.1,73.8,1
21,Carlos Hyde\HydeCa00,2TM,28,,14,7,172,571,5,22,3.3,40.8,2
22,Doug Martin\MartDo00,OAK,29,RB,16,9,172,723,4,29,4.2,45.2,3
23,Tevin Coleman\ColeTe01,ATL,25,RB,16,14,167,800,4,65,4.8,50.0,2
24,LeSean McCoy\McCoLe01,BUF,30,RB,14,13,161,514,3,28,3.2,36.7,0
25,Frank Gore\GoreFr00,MIA,35,RB,14,14,156,722,0,39,4.6,51.6,1
26,Dion Lewis\LewiDi00,TEN,28,rb,16,7,155,517,1,36,3.3,32.3,1
27,LeGarrette Blount\BlouLe00,DET,32,RB,16,8,154,418,5,27,2.7,26.1,2
28,Matt Breida\BreiMa00,SFO,23,RB,14,13,153,814,3,66,5.3,58.1,1
29,Alfred Blue\BlueAl00,HOU,27,rb,16,2,150,499,2,17,3.3,31.2,0
30,Lamar Jackson\JackLa00,BAL,21,qb,16,7,147,695,5,39,4.7,43.4,12
31,Isaiah Crowell\CrowIs00,NYJ,25,rb,13,6,143,685,6,77,4.8,52.7,0
32,Latavius Murray\MurrLa00,MIN,28,rb,16,6,140,578,6,38,4.1,36.1,0
33,Mark Ingram\IngrMa01,NOR,29,rb,12,6,138,645,6,38,4.7,53.8,3
34,Gus Edwards\EdwaGu00,BAL,23,rb,11,6,137,718,2,43,5.2,65.3,0
35,Dalvin Cook\CookDa01,MIN,23,RB,11,10,133,615,2,70,4.6,55.9,2
36,Leonard Fournette\FourLe00,JAX,23,RB,8,8,133,439,5,25,3.3,54.9,0
37,Aaron Jones\JoneAa00,GNB,24,RB,12,8,133,728,8,67,5.5,60.7,1
38,Royce Freeman\FreeRo00,DEN,22,RB,14,8,130,521,5,24,4.0,37.2,1
