Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
84,Jonathan Dwyer\DwyeJo00,PIT,24,,15,0,49,197,0,30,4.0,13.1,0
85,EJ Manuel\ManuEJ00,BUF,23,QB,10,10,53,186,2,19,3.5,18.6,6
86,Ahmad Bradshaw\BradAh00,IND,27,rb,3,2,41,186,2,27,4.5,62.0,0
87,Felix Jones\JoneFe00,PIT,26,rb,16,2,48,184,0,14,3.8,11.5,1
88,Andy Dalton\DaltAn00,CIN,26,QB,16,16,61,183,2,12,3.0,11.4,6
89,Dennis Johnson\JohnDe02,HOU,23,rb,8,1,49,183,0,29,3.7,22.9,0
90,Brian Leonard\LeonBr00,TAM,29,rb,16,1,47,182,0,24,3.9,11.4,0
91,Jonathan Stewart\StewJo00,CAR,26,rb,6,1,48,180,0,16,3.8,30.0,1
92,Edwin Baker\BakeEd01,CLE,22,rb,3,2,43,171,2,20,4.0,57.0,0
93,Tashard Choice\ChoiTa00,2TM,29,,15,0,46,170,0,20,3.7,11.3,0
94,Matt Asiata\AsiaMa00,MIN,26,rb,11,1,44,166,3,39,3.8,15.1,1
95,Joseph Randle\RandJo01,DAL,22,rb,13,2,54,164,2,19,3.0,12.6,0
96,Jason Snelling\SnelJa00,ATL,30,fb,14,1,44,164,1,17,3.7,11.7,0
97,Cordarrelle Patterson*+\PattCo00,MIN,22,wr,16,6,12,158,3,50,13.2,9.9,0
98,Ronnie Brown\BrowRo05,SDG,32,,16,0,45,157,1,13,3.5,9.8,0
99,Jake Locker\LockJa00,TEN,25,qb,7,7,24,155,2,39,6.5,22.1,3
100,Christian Ponder\PondCh00,MIN,25,QB,9,9,34,151,4,19,4.4,16.8,7
