Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,LeSean McCoy*+\McCoLe01,PHI,25,RB,16,16,314,1607,9,57,5.1,100.4,1
2,Matt Forte*\FortMa00,CHI,28,RB,16,16,289,1339,9,55,4.6,83.7,2
3,Jamaal Charles*+\CharJa00,KAN,27,RB,15,15,259,1287,12,46,5.0,85.8,4
4,Alfred Morris*\MorrAl00,WAS,25,RB,16,16,276,1275,7,45,4.6,79.7,5
5,Adrian Peterson*\PeteAd01,MIN,28,RB,14,14,279,1266,10,78,4.5,90.4,5
6,Marshawn Lynch*\LyncMa00,SEA,27,RB,16,16,301,1257,12,43,4.2,78.6,4
7,Ryan Mathews\MathRy00,SDG,26,RB,16,14,285,1255,6,51,4.4,78.4,2
8,Eddie Lacy*\LacyEd00,GNB,23,RB,15,15,284,1178,11,60,4.1,78.5,1
9,Frank Gore*\GoreFr00,SFO,30,RB,16,16,276,1128,9,51,4.1,70.5,3
10,DeMarco Murray*\MurrDe00,DAL,25,RB,14,14,217,1121,9,43,5.2,80.1,3
11,Chris Johnson\JohnCh04,TEN,28,RB,16,16,279,1077,6,30,3.9,67.3,3
12,Knowshon Moreno\MoreKn00,DEN,26,RB,16,15,241,1038,10,31,4.3,64.9,2
13,Reggie Bush\BushRe00,DET,28,RB,14,14,223,1006,4,39,4.5,71.9,5
14,Zac Stacy\StacZa00,STL,22,RB,14,12,250,973,7,40,3.9,69.5,1
15,C.J. Spiller\SpilC.00,BUF,26,RB,15,10,202,933,2,77,4.6,62.2,4
16,Fred Jackson\JackFr02,BUF,32,rb,16,6,206,890,9,59,4.3,55.6,3
17,Le'Veon Bell\BellLe00,PIT,21,RB,13,13,244,860,8,43,3.5,66.2,1
18,DeAngelo Williams\WillDe02,CAR,30,RB,15,15,201,843,3,43,4.2,56.2,3
19,Chris Ivory\IvorCh00,NYJ,25,rb,15,6,182,833,3,69,4.6,55.5,2
20,Maurice Jones-Drew\DrewMa00,JAX,28,RB,15,15,234,803,5,48,3.4,53.5,1
21,Stevan Ridley\RidlSt00,NWE,24,rb,14,6,178,773,7,29,4.3,55.2,4
22,LeGarrette Blount\BlouLe00,NWE,27,rb,16,7,153,772,7,47,5.0,48.3,3
23,Ben Tate\TateBe00,HOU,25,rb,14,7,181,771,4,60,4.3,55.1,5
24,BenJarvus Green-Ellis\GreeBe00,CIN,28,RB,16,16,220,756,7,25,3.4,47.3,2
25,Rashad Jennings\JennRa00,OAK,28,RB,15,8,163,733,6,80,4.5,48.9,0
26,Lamar Miller\MillLa01,MIA,22,RB,16,15,177,709,2,49,4.0,44.3,1
27,Bilal Powell\PoweBi00,NYJ,25,RB,16,11,176,697,1,39,4.0,43.6,1
28,Giovani Bernard\BernGi00,CIN,22,,16,0,170,695,5,35,4.1,43.4,2
29,Rashard Mendenhall\MendRa00,ARI,26,RB,15,15,217,687,8,28,3.2,45.8,4
30,Ray Rice\RiceRa00,BAL,26,RB,15,15,214,660,4,47,3.1,44.0,2
31,Andre Ellington\ElliAn00,ARI,24,rb,15,1,118,652,3,80,5.5,43.5,1
32,Joique Bell\BellJo01,DET,27,fb/rb,16,4,166,650,8,20,3.9,40.6,4
33,Cam Newton*\NewtCa00,CAR,24,QB,16,16,111,585,6,56,5.3,36.6,3
34,Terrelle Pryor\PryoTe00,OAK,24,QB,11,9,83,576,2,93,6.9,52.4,7
35,Bobby Rainey\RainBo00,2TM,26,,15,6,150,566,5,80,3.8,37.7,1
36,Trent Richardson\RichTr00,2TM,23,,16,10,188,563,3,22,3.0,35.2,3
37,Montee Ball\BallMo00,DEN,23,,16,0,120,559,4,45,4.7,34.9,3
38,Pierre Thomas\ThomPi00,NOR,29,RB,16,9,147,549,2,18,3.7,34.3,2
39,Steven Jackson\JackSt00,ATL,30,RB,12,12,157,543,6,50,3.5,45.3,0
40,Arian Foster\FostAr00,HOU,27,RB,8,8,121,542,1,23,4.5,67.8,0
41,Russell Wilson*\WilsRu00,SEA,25,QB,16,16,96,539,1,27,5.6,33.7,12
42,Donald Brown\BrowDo00,IND,26,rb,16,5,102,537,6,51,5.3,33.6,1
43,Colin Kaepernick\KaepCo00,SFO,26,QB,16,16,92,524,4,28,5.7,32.8,9
44,James Starks\StarJa00,GNB,27,rb,13,1,89,493,3,41,5.5,37.9,1
45,Andre Brown\BrowAn03,NYG,27,RB,8,8,139,492,3,23,3.5,61.5,3
46,Robert Griffin\GrifRo01,WAS,23,QB,13,13,86,489,0,26,5.7,37.6,11
47,Doug Martin\MartDo00,TAM,24,rb,6,6,127,456,1,28,3.6,76.0,2
48,Bernard Pierce\PierBe00,BAL,22,rb,16,1,152,436,2,28,2.9,27.3,0
49,Alex Smith*\SmitAl03,KAN,29,QB,15,15,76,431,1,26,5.7,28.7,8
50,Danny Woodhead\WoodDa02,SDG,28,rb,16,2,106,429,2,14,4.0,26.8,2
51,Daniel Thomas\ThomDa03,MIA,26,rb,15,1,109,406,4,55,3.7,27.1,0
52,Mark Ingram\IngrMa01,NOR,24,rb,11,3,78,386,1,34,4.9,35.1,1
53,Darren McFadden\McFaDa00,OAK,26,rb,10,7,114,379,5,30,3.3,37.9,1
54,Willis McGahee\McGaWi00,CLE,32,rb,12,6,138,377,2,16,2.7,31.4,1
55,Andrew Luck*\LuckAn00,IND,24,QB,16,16,63,377,4,29,6.0,23.6,6
56,Geno Smith\SmitGe00,NYJ,23,QB,16,16,72,366,6,32,5.1,22.9,8
57,Mike Tolbert*+\TolbMi00,CAR,28,FB,16,13,101,361,5,22,3.6,22.6,0
58,Kendall Hunter\HuntKe00,SFO,25,,16,0,78,358,3,45,4.6,22.4,1
59,Jacquizz Rodgers\RodgJa00,ATL,23,rb,15,4,96,332,2,19,3.5,22.1,1
60,Bryce Brown\BrowBr02,PHI,22,rb,16,1,75,314,2,65,4.2,19.6,0
61,Michael Vick\VickMi00,PHI,33,qb,7,6,36,306,2,61,8.5,43.7,4
62,Shonn Greene\GreeSh00,TEN,28,,11,0,77,295,4,29,3.8,26.8,0
63,Mike James\JameMi00,TAM,22,rb,8,3,60,295,0,24,4.9,36.9,0
64,Toby Gerhart\GerhTo00,MIN,26,,14,0,36,283,2,41,7.9,20.2,1
65,Roy Helu\HeluRo00,WAS,25,,16,0,62,274,4,24,4.4,17.1,2
66,Brandon Bolden\BoldBr00,NWE,23,rb,12,2,55,271,3,46,4.9,22.6,0
67,Robert Turbin\TurbRo00,SEA,24,,16,0,77,264,0,15,3.4,16.5,1
68,Benny Cunningham\CunnBe01,STL,23,,14,0,47,261,1,56,5.6,18.6,2
69,Jordan Todman\TodmJo00,JAX,23,rb,16,2,76,256,2,33,3.4,16.0,0
70,Peyton Hillis\HillPe00,NYG,27,rb,7,1,73,247,2,27,3.4,35.3,2
71,Knile Davis\DaviKn00,KAN,22,rb,16,1,70,242,4,20,3.5,15.1,3
72,Chris Ogbonnaya\OgboCh00,CLE,27,fb/rb,16,7,49,240,0,43,4.9,15.0,2
73,Brandon Jacobs\JacoBr00,NYG,31,rb,7,1,58,238,4,37,4.1,34.0,1
74,Ryan Tannehill\TannRy00,MIA,25,QB,16,16,40,238,1,48,6.0,14.9,9
75,Ryan Fitzpatrick\FitzRy00,TEN,31,QB,11,9,43,225,3,26,5.2,20.5,9
76,Khiry Robinson\RobiKh00,NOR,24,,10,0,54,224,1,25,4.1,22.4,0
77,Nick Foles*\FoleNi00,PHI,24,QB,13,10,57,221,3,21,3.9,17.0,4
78,Darren Sproles\SproDa00,NOR,30,rb,15,4,53,220,2,38,4.2,14.7,2
79,Ronnie Hillman\HillRo00,DEN,22,,10,0,55,218,1,19,4.0,21.8,2
80,Marcel Reece*\ReecMa00,OAK,28,FB/rb,16,15,46,218,2,63,4.7,13.6,0
81,Daryl Richardson\RichDa00,STL,23,rb,8,3,69,215,0,14,3.1,26.9,0
82,Shane Vereen\VereSh00,NWE,24,rb,8,1,44,208,1,21,4.7,26.0,1
83,Michael Bush\BushMi00,CHI,29,,15,0,63,197,3,40,3.1,13.1,0
