Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Adrian Peterson*+\PeteAd01,MIN,27,RB,16,16,348,2097,12,82,6.0,131.1,4
2,Alfred Morris\MorrAl00,WAS,24,RB,16,16,335,1613,13,39,4.8,100.8,4
3,Marshawn Lynch*+\LyncMa00,SEA,26,RB,16,15,315,1590,11,77,5.0,99.4,5
4,Jamaal Charles*\CharJa00,KAN,26,RB,16,15,285,1509,5,91,5.3,94.3,5
5,Doug Martin*\MartDo00,TAM,23,RB,16,16,319,1454,11,70,4.6,90.9,1
6,Arian Foster*\FostAr00,HOU,26,RB,16,16,351,1424,15,46,4.1,89.0,3
7,Stevan Ridley\RidlSt00,NWE,23,RB,16,12,290,1263,12,41,4.4,78.9,4
8,C.J. Spiller*\SpilC.00,BUF,25,RB,16,9,207,1244,6,62,6.0,77.8,3
9,Chris Johnson\JohnCh04,TEN,27,RB,16,15,276,1243,6,94,4.5,77.7,5
10,Frank Gore*\GoreFr00,SFO,29,RB,16,16,258,1214,8,37,4.7,75.9,3
11,Ray Rice*\RiceRa00,BAL,25,RB,16,16,257,1143,9,46,4.4,71.4,1
12,BenJarvus Green-Ellis\GreeBe00,CIN,27,RB,15,15,278,1094,6,48,3.9,72.9,3
13,Matt Forte\FortMa00,CHI,27,RB,15,15,248,1094,5,46,4.4,72.9,2
14,Shonn Greene\GreeSh00,NYJ,27,RB,16,14,276,1063,8,36,3.9,66.4,4
15,Steven Jackson\JackSt00,STL,29,RB,16,16,258,1045,4,46,4.1,65.3,0
16,Ahmad Bradshaw\BradAh00,NYG,26,RB,14,12,221,1015,6,37,4.6,72.5,3
17,Reggie Bush\BushRe00,MIA,27,RB,16,16,227,986,6,65,4.3,61.6,4
18,Trent Richardson\RichTr00,CLE,22,RB,15,15,267,950,11,32,3.6,63.3,3
19,LeSean McCoy\McCoLe01,PHI,24,RB,12,12,200,840,2,34,4.2,70.0,4
20,Robert Griffin*\GrifRo01,WAS,22,QB,15,15,120,815,7,76,6.8,54.3,12
21,Vick Ballard\BallVi00,IND,22,RB,16,12,211,814,2,26,3.9,50.9,3
22,Michael Turner\TurnMi00,ATL,30,RB,16,16,222,800,10,43,3.6,50.0,3
23,Mikel Leshoure\LeshMi00,DET,22,RB,14,14,215,798,9,16,3.7,57.0,3
24,Cam Newton\NewtCa00,CAR,23,QB,16,16,127,741,8,72,5.8,46.3,10
25,DeAngelo Williams\WillDe02,CAR,29,RB,16,10,173,737,5,65,4.3,46.1,2
26,Willis McGahee\McGaWi00,DEN,31,RB,10,9,167,731,4,31,4.4,73.1,5
27,Darren McFadden\McFaDa00,OAK,25,RB,12,12,216,707,2,64,3.3,58.9,2
28,Ryan Mathews\MathRy00,SDG,25,RB,12,9,184,707,1,31,3.8,58.9,2
29,DeMarco Murray\MurrDe00,DAL,24,RB,10,10,161,663,4,48,4.1,66.3,3
30,Jonathan Dwyer\DwyeJo00,PIT,23,rb,13,6,156,623,2,34,4.0,47.9,2
31,Mark Ingram\IngrMa01,NOR,23,rb,16,5,156,602,5,31,3.9,37.6,0
32,Bryce Brown\BrowBr02,PHI,21,rb,16,4,115,564,4,65,4.9,35.3,4
33,Bernard Pierce\PierBe00,BAL,21,,16,0,108,532,1,78,4.9,33.3,0
34,Knowshon Moreno\MoreKn00,DEN,25,rb,8,6,138,525,4,20,3.8,65.6,1
35,Russell Wilson*\WilsRu00,SEA,24,QB,16,16,94,489,4,25,5.2,30.6,6
36,Daryl Richardson\RichDa00,STL,22,,16,0,98,475,0,53,4.8,29.7,3
37,Pierre Thomas\ThomPi00,NOR,28,rb,15,4,105,473,1,48,4.5,31.5,0
38,Alex Green\GreeAl00,GNB,24,rb,12,4,135,464,0,41,3.4,38.7,1
39,Fred Jackson\JackFr02,BUF,31,RB,10,8,115,437,3,15,3.8,43.7,5
40,Bilal Powell\PoweBi00,NYJ,24,rb,14,2,110,437,4,18,4.0,31.2,0
41,Donald Brown\BrowDo00,IND,25,rb,10,4,108,417,1,19,3.9,41.7,0
42,Colin Kaepernick\KaepCo00,SFO,25,qb,13,7,63,415,5,50,6.6,31.9,9
43,Maurice Jones-Drew\DrewMa00,JAX,27,rb,6,5,86,414,1,59,4.8,69.0,2
44,Joique Bell\BellJo01,DET,26,,16,0,82,414,3,67,5.0,25.9,2
45,Michael Bush\BushMi00,CHI,28,rb,13,1,114,411,5,20,3.6,31.6,1
46,Isaac Redman\RedmIs20,PIT,28,rb,14,5,110,410,2,28,3.7,29.3,3
47,Felix Jones\JoneFe00,DAL,25,rb,16,7,111,402,3,22,3.6,25.1,2
48,Andre Brown\BrowAn03,NYG,26,rb,10,2,73,385,8,31,5.3,38.5,0
49,Justin Forsett\ForsJu00,HOU,27,,16,0,63,374,1,81,5.9,23.4,0
50,Kendall Hunter\HuntKe00,SFO,24,,11,0,72,371,2,26,5.2,33.7,1
51,Jacquizz Rodgers\RodgJa00,ATL,22,,16,0,94,362,1,43,3.9,22.6,0
52,David Wilson\WilsDa01,NYG,21,rb,16,2,71,358,4,52,5.0,22.4,1
53,LaRod Stephens-Howling\StepLa00,ARI,25,rb,14,5,110,356,4,52,3.2,25.4,0
54,Robert Turbin\TurbRo00,SEA,23,,16,0,80,354,0,26,4.4,22.1,0
55,Jonathan Stewart\StewJo00,CAR,25,rb,9,6,93,336,1,21,3.6,37.3,2
56,Michael Vick\VickMi00,PHI,32,QB,10,10,62,332,1,20,5.4,33.2,11
57,Ronnie Hillman\HillRo00,DEN,21,,14,0,85,330,1,31,3.9,23.6,2
58,Daniel Thomas\ThomDa03,MIA,25,,12,0,91,325,4,20,3.6,27.1,3
59,Jackie Battle\BattJa00,SDG,29,rb,16,5,95,311,3,52,3.3,19.4,0
60,Peyton Hillis\HillPe00,KAN,26,rb,13,2,85,309,1,18,3.6,23.8,2
61,Danny Woodhead\WoodDa02,NWE,27,rb,16,2,76,301,4,19,4.0,18.8,1
62,Jake Locker\LockJa00,TEN,24,QB,11,11,41,291,1,32,7.1,26.5,4
63,Rashad Jennings\JennRa00,JAX,27,rb,10,6,101,283,2,21,2.8,28.3,3
64,Ben Tate\TateBe00,HOU,24,,11,0,65,279,2,25,4.3,25.4,1
65,Brandon Bolden\BoldBr00,NWE,22,,10,0,56,274,2,27,4.9,27.4,0
66,Montario Hardesty\HardMo00,CLE,25,rb,13,1,65,271,1,25,4.2,20.8,2
67,Marcel Reece*\ReecMa00,OAK,27,FB/rb,16,14,59,271,0,17,4.6,16.9,2
68,Aaron Rodgers*\RodgAa00,GNB,29,QB,16,16,54,259,2,27,4.8,16.2,5
69,Cedric Peerman\PeerCe00,CIN,26,rb,14,1,36,258,1,48,7.2,18.4,0
70,James Starks\StarJa00,GNB,26,rb,6,2,71,255,1,22,3.6,42.5,1
71,Andrew Luck*\LuckAn00,IND,23,QB,16,16,62,255,5,19,4.1,15.9,10
72,Christian Ponder\PondCh00,MIN,24,QB,16,16,60,253,2,29,4.2,15.8,7
73,Shane Vereen\VereSh00,NWE,23,rb,13,1,62,251,3,16,4.0,19.3,1
74,Lamar Miller\MillLa01,MIA,21,fb,13,1,51,250,1,28,4.9,19.2,0
75,Cedric Benson\BensCe00,GNB,30,rb,5,5,71,248,1,11,3.5,49.6,1
76,Darren Sproles\SproDa00,NOR,29,rb,13,6,48,244,1,47,5.1,18.8,0
77,Beanie Wells\WellCh00,ARI,24,rb,8,7,88,234,5,31,2.7,29.3,1
78,Shaun Draughn\DrauSh00,KAN,25,,16,0,59,233,2,25,3.9,14.6,2
79,Jay Cutler\CutlJa00,CHI,29,QB,15,15,41,233,0,24,5.7,15.5,8
80,Mike Goodson\GoodMi00,OAK,25,,12,0,35,221,0,43,6.3,18.4,0
81,Ronnie Brown\BrowRo05,SDG,31,rb,14,1,46,220,0,21,4.8,15.7,0
82,William Powell\PoweWi00,ARI,24,rb,13,1,60,217,0,17,3.6,16.7,2
83,Chris Ivory\IvorCh00,NOR,24,rb,6,2,40,217,2,56,5.4,36.2,0
84,Ryan Tannehill\TannRy00,MIA,24,QB,16,16,49,211,2,31,4.3,13.2,9
85,Montell Owens\OwenMo01,JAX,28,fb/rb,13,4,42,209,1,32,5.0,16.1,0
86,Ryan Fitzpatrick\FitzRy00,BUF,30,QB,16,16,48,197,1,20,4.1,12.3,8
87,Tashard Choice\ChoiTa00,BUF,28,,12,0,47,193,1,22,4.1,16.1,0
88,Mike Tolbert\TolbMi00,CAR,27,fb,16,5,54,183,7,13,3.4,11.4,0
89,Rashard Mendenhall\MendRa00,PIT,25,rb,6,4,51,182,0,20,3.6,30.3,3
90,Joe McKnight\McKnJo00,NYJ,24,,15,0,30,179,0,61,6.0,11.9,3
91,Toby Gerhart\GerhTo00,MIN,25,,16,0,50,169,1,22,3.4,10.6,2
92,Ryan Williams\WillRy00,ARI,22,rb,5,3,58,164,0,25,2.8,32.8,2
93,Lance Ball\BallLa00,DEN,27,,15,0,42,158,1,22,3.8,10.5,1
94,DuJuan Harris\HarrDu01,GNB,24,rb,4,2,34,157,2,21,4.6,39.3,0
95,LeGarrette Blount\BlouLe00,TAM,26,,13,0,41,151,2,35,3.7,11.6,0
96,Matt Cassel\CassMa00,KAN,30,QB,9,8,27,145,1,21,5.4,16.1,8
97,Jalen Parmele\ParmJa00,JAX,27,rb,11,2,40,143,0,28,3.6,13.0,0
98,Matt Ryan*\RyanMa00,ATL,27,QB,16,16,34,141,1,16,4.1,8.8,3
99,Josh Freeman\FreeJo00,TAM,24,QB,16,16,39,139,0,13,3.6,8.7,10
100,Kevin Smith\SmitKe02,DET,26,rb,12,2,37,134,1,19,3.6,11.2,0
