Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chris Johnson*+\JohnCh04,TEN,24,RB,16,16,358,2006,14,91,5.6,125.4,3
2,Steven Jackson*\JackSt00,STL,26,RB,15,15,324,1416,4,58,4.4,94.4,2
3,Thomas Jones\JoneTh00,NYJ,31,RB,16,16,331,1402,14,71,4.2,87.6,2
4,Maurice Jones-Drew*\DrewMa00,JAX,24,RB,16,16,312,1391,15,80,4.5,86.9,2
5,Adrian Peterson*+\PeteAd01,MIN,24,RB,16,15,314,1383,18,64,4.4,86.4,7
6,Ray Rice*\RiceRa00,BAL,22,RB,16,15,254,1339,7,59,5.3,83.7,3
7,Ryan Grant\GranRy00,GNB,27,RB,16,16,282,1253,11,62,4.4,78.3,1
8,Cedric Benson\BensCe00,CIN,27,RB,13,13,301,1251,6,42,4.2,96.2,1
9,Jonathan Stewart\StewJo00,CAR,22,rb,16,3,221,1133,10,67,5.1,70.8,3
10,Ricky Williams\WillRi00,MIA,32,rb,16,7,241,1121,11,68,4.7,70.1,5
11,Frank Gore*\GoreFr00,SFO,26,RB,14,14,229,1120,10,80,4.9,80.0,4
12,Jamaal Charles\CharJa00,KAN,23,RB,15,10,190,1120,7,76,5.9,74.7,4
13,DeAngelo Williams*\WillDe02,CAR,26,RB,13,13,216,1117,7,77,5.2,85.9,3
14,Rashard Mendenhall\MendRa00,PIT,22,RB,16,12,242,1108,7,60,4.6,69.3,3
15,Fred Jackson\JackFr02,BUF,28,RB/wr,16,11,237,1062,2,43,4.5,66.4,4
16,Knowshon Moreno\MoreKn00,DEN,22,RB,16,9,247,947,7,36,3.8,59.2,4
17,Marion Barber\BarbMa01,DAL,26,RB,15,15,214,932,7,35,4.4,62.1,2
18,Matt Forte\FortMa00,CHI,24,RB,16,16,258,929,4,61,3.6,58.1,6
19,Michael Turner\TurnMi00,ATL,27,RB,11,11,178,871,10,58,4.9,79.2,4
20,Jerome Harrison\HarrJe00,CLE,26,rb,14,7,194,862,5,71,4.4,61.6,2
21,Brandon Jacobs\JacoBr00,NYG,27,RB,15,15,224,835,5,31,3.7,55.7,2
22,Joseph Addai\AddaJo00,IND,26,RB,15,15,219,828,10,21,3.8,55.2,1
23,Cadillac Williams\WillCa02,TAM,27,RB,16,15,211,823,4,35,3.9,51.4,1
24,Beanie Wells\WellCh00,ARI,21,,16,0,176,793,7,33,4.5,49.6,4
