Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Maurice Jones-Drew*+\DrewMa00,JAX,26,RB,16,16,343,1606,8,56,4.7,100.4,6
2,Ray Rice*\RiceRa00,BAL,24,RB,16,16,291,1364,12,70,4.7,85.3,2
3,Michael Turner\TurnMi00,ATL,29,RB,16,15,301,1340,11,81,4.5,83.8,3
4,LeSean McCoy*+\McCoLe01,PHI,23,RB,15,15,273,1309,17,60,4.8,87.3,1
5,Arian Foster*\FostAr00,HOU,25,RB,13,13,278,1224,10,43,4.4,94.2,6
6,Frank Gore*\GoreFr00,SFO,28,RB,16,15,282,1211,8,55,4.3,75.7,2
7,Marshawn Lynch*\LyncMa00,SEA,25,RB,15,15,285,1204,12,47,4.2,80.3,3
8,Willis McGahee*\McGaWi00,DEN,30,RB,15,14,249,1199,4,60,4.8,79.9,4
9,Steven Jackson\JackSt00,STL,28,RB,15,15,260,1145,5,47,4.4,76.3,2
10,Ryan Mathews*\MathRy00,SDG,24,RB,14,14,222,1091,6,39,4.9,77.9,5
11,Reggie Bush\BushRe00,MIA,26,RB,15,15,216,1086,6,76,5.0,72.4,4
12,Cedric Benson\BensCe00,CIN,29,RB,15,15,273,1067,6,42,3.9,71.1,5
13,Shonn Greene\GreeSh00,NYJ,26,RB,16,15,253,1054,6,31,4.2,65.9,1
14,Chris Johnson\JohnCh04,TEN,26,RB,16,16,262,1047,4,48,4.0,65.4,3
15,Beanie Wells\WellCh00,ARI,23,RB,14,14,245,1047,10,71,4.3,74.8,4
16,Matt Forte*\FortMa00,CHI,26,RB,12,12,203,997,3,46,4.9,83.1,2
17,Michael Bush\BushMi00,OAK,27,RB,16,9,256,977,7,44,3.8,61.1,1
18,Adrian Peterson\PeteAd01,MIN,26,RB,12,12,208,970,12,54,4.7,80.8,1
19,Ben Tate\TateBe00,HOU,23,rb,15,2,175,942,4,56,5.4,62.8,4
20,Fred Jackson\JackFr02,BUF,30,RB,10,10,170,934,6,80,5.5,93.4,2
21,Rashard Mendenhall\MendRa00,PIT,24,RB,15,15,228,928,9,68,4.1,61.9,1
22,DeMarco Murray\MurrDe00,DAL,23,rb,13,7,164,897,2,91,5.5,69.0,1
23,DeAngelo Williams\WillDe02,CAR,28,RB,16,14,155,836,7,74,5.4,52.3,0
24,LeGarrette Blount\BlouLe00,TAM,25,RB,14,14,184,781,5,54,4.2,55.8,5
25,Jonathan Stewart\StewJo00,CAR,24,rb,16,3,142,761,4,32,5.4,47.6,1
26,Cam Newton*\NewtCa00,CAR,22,QB,16,16,126,706,14,49,5.6,44.1,5
27,BenJarvus Green-Ellis\GreeBe00,NWE,26,rb,16,6,181,667,11,18,3.7,41.7,0
28,Tim Tebow\TeboTi00,DEN,24,QB,14,11,122,660,6,32,5.4,47.1,14
29,Ahmad Bradshaw\BradAh00,NYG,25,RB,12,9,171,659,9,37,3.9,54.9,1
30,Donald Brown\BrowDo00,IND,24,rb,16,2,134,645,5,80,4.8,40.3,0
