"Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV"
"New England Patriots*,13,3,.813,458,296,162,10.1"
"Buffalo Bills+,9,7,.563,302,359,-57,-3.6"
"Miami Dolphins,6,10,.375,281,393,-112,-7.0"
"New York Jets,5,11,.313,298,382,-84,-5.3"
"Pittsburgh Steelers*,13,3,.813,406,308,98,6.1"
"Baltimore Ravens,9,7,.563,395,303,92,5.8"
"Cincinnati Bengals,7,9,.438,290,349,-59,-3.7"
"Cleveland Browns,0,16,.000,234,410,-176,-11.0"
"Jacksonville Jaguars*,10,6,.625,417,268,149,9.3"
"Tennessee Titans+,9,7,.563,334,356,-22,-1.4"
"Houston Texans,4,12,.250,338,436,-98,-6.1"
"Indianapolis Colts,4,12,.250,263,404,-141,-8.8"
"Kansas City Chiefs*,10,6,.625,415,339,76,4.8"
"Los Angeles Chargers,9,7,.563,355,272,83,5.2"
"Oakland Raiders,6,10,.375,301,373,-72,-4.5"
"Denver Broncos,5,11,.313,289,382,-93,-5.8"
