Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
65,Chester Taylor\TaylCh01,CHI,31,rb,16,1,112,267,3,24,2.4,16.7,0
66,Darren Sproles\SproDa00,SDG,27,rb,16,3,50,267,0,34,5.3,16.7,3
67,Keiland Williams\WillKe03,WAS,24,rb,15,3,65,261,3,32,4.0,17.4,1
68,Isaac Redman\RedmIs20,PIT,26,,16,0,52,247,0,23,4.8,15.4,2
69,Tashard Choice\ChoiTa00,DAL,26,,16,0,66,243,3,26,3.7,15.2,1
70,Javon Ringer\RingJa00,TEN,23,,16,0,51,239,2,54,4.7,14.9,0
71,Anthony Dixon\DixoAn00,SFO,23,,16,0,70,237,2,34,3.4,14.8,0
72,Jay Cutler\CutlJa00,CHI,27,QB,15,15,50,232,1,25,4.6,15.5,10
73,Clinton Portis\PortCl00,WAS,29,rb,5,5,54,227,2,27,4.2,45.4,0
74,Tim Tebow\TeboTi00,DEN,23,qb,9,3,43,227,6,40,5.3,25.2,1
75,Julius Jones\JoneJu01,2TM,29,,12,2,60,223,0,54,3.7,18.6,1
76,Jason Campbell\CampJa00,OAK,29,QB,13,12,47,222,1,24,4.7,17.1,9
77,Joe McKnight\McKnJo00,NYJ,22,rb,9,1,39,189,0,18,4.8,21.0,0
78,Mike Hart\HartMi00,IND,24,rb,7,1,43,185,1,35,4.3,26.4,0
79,Ben Roethlisberger\RoetBe00,PIT,28,QB,12,12,34,176,2,31,5.2,14.7,6
80,Dominic Rhodes\RhodDo00,IND,31,,3,0,37,172,0,15,4.6,57.3,1
81,Deji Karim\KariDe00,JAX,24,,11,0,35,160,0,15,4.6,14.5,4
82,Lance Ball\BallLa00,DEN,25,,10,0,41,158,0,19,3.9,15.8,1
83,Fred Taylor\TaylFr00,NWE,34,,7,0,43,155,0,24,3.6,22.1,0
84,Jacoby Ford\FordJa01,OAK,23,fb/WR,16,9,10,155,2,71,15.5,9.7,3
85,Donovan McNabb\McNaDo00,WAS,34,QB,13,13,29,151,0,36,5.2,11.6,10
86,Ladell Betts\BettLa00,NOR,31,rb,8,1,45,150,2,12,3.3,18.8,1
87,Reggie Bush\BushRe00,NOR,25,rb,8,6,36,150,0,23,4.2,18.8,2
88,Correll Buckhalter\BuckCo00,DEN,32,,15,0,59,147,2,13,2.5,9.8,1
89,Jon Kitna\KitnJo00,DAL,38,QB,10,9,31,147,1,29,4.7,14.7,6
90,Colt McCoy\McCoCo00,CLE,24,QB,8,8,28,136,1,18,4.9,17.0,1
91,Kevin Smith\SmitKe02,DET,24,,6,0,34,133,0,15,3.9,22.2,0
92,Matt Cassel*\CassMa00,KAN,28,QB,15,15,33,125,0,23,3.8,8.3,3
93,Vince Young\YounVi00,TEN,27,QB,9,8,25,125,0,20,5.0,13.9,6
94,Shaun Hill\HillSh00,DET,30,QB,11,10,22,123,0,40,5.6,11.2,3
95,Matt Ryan*\RyanMa00,ATL,25,QB,16,16,46,122,0,20,2.7,7.6,4
96,Marcel Reece\ReecMa00,OAK,25,FB,16,10,30,122,1,31,4.1,7.6,1
97,Troy Smith\SmitTr02,SFO,26,qb,6,6,23,121,1,16,5.3,20.2,6
98,Joe Webb\WebbJo00,MIN,24,qb,5,2,18,120,2,16,6.7,24.0,1
99,Mike Thomas\ThomMi01,JAX,23,WR,16,11,12,114,0,33,9.5,7.1,3
100,LaRod Stephens-Howling\StepLa00,ARI,23,rb/wr,13,2,23,113,1,30,4.9,8.7,0
